doc_id,dis_id
13,13
13,14
13,15
13,17
13,21
13,24
13,135
13,137
13,138
13,164
13,202
13,204
13,232
13,240
13,267
13,364
13,426
13,977
13,1012
13,1013
13,1017
13,1025
13,1027
14,13
14,14
14,15
14,17
14,21
14,24
14,135
14,137
14,138
14,164
14,202
14,204
14,232
14,240
14,364
14,426
14,977
14,1006
14,1012
14,1013
14,1017
14,1022
14,1026
14,1027
15,110
15,112
15,739
15,747
15,748
16,139
16,140
16,141
16,143
16,169
16,170
16,172
16,173
16,183
16,255
16,256
16,261
16,836
16,865
16,1041
16,1042
16,1043
16,1044
16,1045
16,1046
16,1047
17,34
17,35
17,43
17,44
17,45
17,46
17,47
17,52
17,227
17,228
17,230
17,768
17,769
17,773
17,787
17,793
19,13
19,14
19,15
19,17
19,21
19,24
19,135
19,137
19,138
19,202
19,204
19,232
19,240
19,364
19,426
19,977
19,1003
19,1010
19,1012
19,1013
19,1017
20,32
20,33
20,164
20,835
20,861
21,164
22,32
22,33
22,835
22,861
22,869
23,32
23,33
23,164
23,222
23,835
23,861
24,32
24,33
24,164
24,835
24,861
25,42
25,61
25,98
25,363
25,699
25,781
25,782
25,783
25,799
25,800
25,822
25,823
25,825
25,1085
26,11
26,13
26,14
26,15
26,17
26,21
26,24
26,25
26,135
26,137
26,138
26,202
26,204
26,240
26,426
26,981
26,1003
26,1004
27,13
27,14
27,15
27,17
27,21
27,24
27,135
27,137
27,138
27,204
27,240
27,364
27,426
27,977
27,1012
27,1013
27,1017
27,1027
28,118
28,119
28,122
28,123
28,668
28,684
28,1100
29,13
29,14
29,15
29,17
29,21
29,24
29,135
29,137
29,138
29,202
29,204
29,240
29,364
29,426
29,977
29,1012
29,1013
29,1017
29,1027
29,1036
30,65
30,68
30,69
30,71
30,73
30,904
30,910
30,1063
30,1079
30,1082
30,1083
31,54
31,56
31,59
31,60
31,61
31,62
31,137
31,138
31,158
31,160
32,34
32,35
32,42
32,43
32,44
32,45
32,46
32,47
32,52
32,227
32,228
32,230
32,769
32,773
32,775
32,787
32,793
33,13
33,14
33,15
33,17
33,21
33,24
33,135
33,137
33,138
33,204
33,240
33,267
33,364
33,426
33,1003
33,1012
33,1013
33,1017
33,1027
33,1033
34,14
34,21
34,24
34,135
34,137
34,138
34,204
34,240
34,364
34,426
34,981
34,986
34,1008
34,1012
34,1013
34,1017
34,1034
35,13
35,14
35,15
35,17
35,21
35,24
35,135
35,137
35,138
35,204
35,364
35,989
35,1012
35,1013
36,14
36,24
36,204
36,240
36,364
36,989
36,1010
36,1012
36,1013
37,162
37,163
37,164
37,165
38,14
38,24
38,364
38,1012
38,1013
40,14
40,17
40,21
40,24
40,135
40,137
40,138
40,152
40,153
40,198
40,204
40,240
40,370
40,459
40,1010
40,1011
40,1053
40,1135
41,11
41,13
41,14
41,17
41,21
41,24
41,364
41,1012
41,1013
41,1025
42,108
42,110
42,112
42,113
42,745
42,747
42,748
42,766
44,5
44,91
44,115
44,116
44,159
44,160
44,787
44,1091
45,65
45,72
45,889
45,904
45,906
45,1078
45,1079
45,1080
45,1081
45,1082
45,1083
45,1084
46,100
46,106
46,583
46,584
46,585
46,596
46,598
46,606
46,621
46,624
46,625
46,629
46,632
47,89
47,90
47,92
47,93
47,96
47,634
47,638
47,709
47,711
49,114
49,162
49,163
49,164
49,165
49,415
49,859
49,951
50,5
50,6
50,8
50,106
50,115
50,709
50,834
50,837
50,847
51,88
51,139
51,531
51,532
51,534
51,538
53,33
53,191
53,192
53,224
53,834
53,835
53,837
53,861
55,5
55,6
55,41
55,115
55,141
55,834
55,837
55,847
55,1115
56,84
56,88
56,531
56,534
56,538
56,559
56,1048
57,5
57,27
57,30
57,31
57,83
57,88
57,131
57,528
57,722
57,873
57,874
58,148
58,150
58,152
58,153
58,269
58,271
58,272
58,273
58,274
58,275
58,276
58,277
58,278
58,283
58,288
58,289
58,291
58,293
58,295
58,298
58,300
58,302
58,305
58,306
58,309
58,322
58,324
58,325
58,330
58,333
58,338
58,339
58,340
58,341
58,345
58,352
58,360
58,364
58,1141
58,1142
59,152
59,153
59,299
59,300
59,301
59,302
59,303
59,364
59,702
59,1012
59,1013
60,298
60,977
60,978
61,14
61,152
61,153
61,164
61,271
61,272
61,273
61,277
61,281
61,282
61,283
61,284
61,294
61,300
61,301
61,302
61,305
61,364
61,781
61,783
61,784
61,785
62,108
62,110
62,112
62,113
62,747
64,98
64,699
64,781
64,783
64,784
64,797
64,798
64,799
64,800
65,63
65,157
65,159
65,160
65,532
65,893
65,944
65,949
65,956
65,975
65,981
67,68
67,72
67,73
67,76
67,77
67,78
67,83
67,84
67,537
67,542
67,560
67,689
67,905
67,910
67,911
67,912
67,913
67,914
70,4
70,7
72,98
72,797
72,798
72,799
72,800
74,34
74,35
74,39
74,45
74,46
74,47
74,52
74,97
74,227
74,228
74,230
74,775
74,793
75,14
75,24
75,42
75,45
75,49
75,78
75,158
75,162
75,163
75,364
75,808
75,952
75,977
75,1059
77,483
77,805
78,56
78,59
78,61
78,62
78,63
78,159
78,160
78,532
78,963
78,966
78,967
78,972
80,21
80,240
80,983
80,993
80,995
80,1010
80,1021
81,56
81,61
81,158
81,159
81,160
81,956
83,5
83,34
83,35
83,44
83,45
83,47
83,52
83,91
83,92
83,93
83,96
83,115
83,116
83,122
83,126
83,129
83,130
83,162
83,163
83,165
83,367
83,368
83,684
83,705
83,711
84,59
84,60
84,61
84,62
84,63
84,138
84,158
84,159
84,160
84,532
84,963
84,966
84,967
84,970
84,972
84,973
85,30
85,31
85,32
85,33
85,135
85,136
85,137
85,138
85,198
85,202
85,204
85,240
85,295
85,363
85,834
85,835
85,837
85,842
85,861
85,1120
86,13
86,14
86,21
86,24
86,25
86,137
86,138
86,204
86,240
86,985
86,987
86,991
86,993
86,1004
86,1010
86,1019
